cluster	matrix_name	transcripts_ids	Gene	Enrichment	Adjust P-value	Description
dmrt1+ neoblasts	Smp-138470	Smp_138470.1	Smp_138470	1.1191314626411415	3.012093406673273e-79	NA
dmrt1+ neoblasts	Smp-247170	Smp_247170.1	Smp_247170	1.093890872524881	1.331540362861929e-72	NA
dmrt1+ neoblasts	G42299	SmLINC178699-IBu,SmLINC178696-IBu,SmLINC178695-IBu,SmLINC178693-IBu,SmLINC178698-IBu,SmLINC178694-IBu	G42299	0.9877098576370744	2.3061015711369868e-52	SmLINC178699-IBu,SmLINC178696-IBu,SmLINC178695-IBu,SmLINC178693-IBu,SmLINC178698-IBu,SmLINC178694-IBu
dmrt1+ neoblasts	Smp-051920	Smp_051920.1,Smp_051920.2	Smp_051920	0.9631521130642284	1.9602416582659845e-47	Nanos-type domain-containing protein
dmrt1+ neoblasts	Smp-046500	Smp_046500.1,Smp_046500.2	Smp_046500	0.9511611943316292	9.576623991962852e-68	Proliferating cell nuclear antigen
dmrt1+ neoblasts	Smp-148110	Smp_148110.1	Smp_148110	0.9243342676746712	5.356519978105991e-85	HMG box domain-containing protein
dmrt1+ neoblasts	Smp-105220	Smp_105220.1	Smp_105220	0.9216762401389196	3.8753877388205854e-51	DIF_5
dmrt1+ neoblasts	Smp-027920	Smp_027920.1	Smp_027920	0.9184616616723631	6.470379090310844e-55	Tubulin alpha chain
dmrt1+ neoblasts	G32308	SmLINC159487-IBu	G32308	0.9028510999674344	1.0547746217821497e-49	SmLINC159487-IBu
dmrt1+ neoblasts	Smp-150030	Smp_150030.1,Smp_150030.2	Smp_150030	0.9016997946839829	1.035375819597428e-114	NA
dmrt1+ neoblasts	G18825	SmLINC135035-IBu,SmLINC135036-IBu,SmLINC135033-IBu	G18825	0.891834193645273	9.886373583205473e-56	SmLINC135035-IBu,SmLINC135036-IBu,SmLINC135033-IBu
dmrt1+ neoblasts	Smp-210630	Smp_210630.1	Smp_210630	0.8690952239510614	3.517325721843499e-63	Histone H2A
dmrt1+ neoblasts	G18824	SmLINC135030-IBu,SmLINC135027-IBu,SmLINC135032-IBu,SmLINC135028-IBu,SmLINC135029-IBu,SmLINC135031-IBu	G18824	0.8640082540809009	1.3555536516086333e-35	SmLINC135030-IBu,SmLINC135027-IBu,SmLINC135032-IBu,SmLINC135028-IBu,SmLINC135029-IBu,SmLINC135031-IBu
dmrt1+ neoblasts	Smp-176260	Smp_176260.1	Smp_176260	0.8562938342762791	3.878307520939926e-49	NA
dmrt1+ neoblasts	Smp-157300	Smp_157300.1,Smp_157300.2	Smp_157300	0.8499498754040324	1.3447843060058872e-62	Tyrosine kinase
dmrt1+ neoblasts	G20001	SmLINC137107-IBu	G20001	0.8466123837929533	1.0107436457740609e-22	SmLINC137107-IBu
dmrt1+ neoblasts	Smp-086860	Smp_086860.1	Smp_086860	0.8308347298049581	5.479118175613847e-49	Histone H2A
dmrt1+ neoblasts	Smp-111340	Smp_111340.1	Smp_111340	0.8301704100806611	2.485194811987477e-18	NA
