cluster	matrix_name	transcripts_ids	Gene	Enrichment	Adjust.P.value	Description
tegument 1	G12196	SmLINC002017-IBu	G12196	1.22634022126115	1.30865258219628e-178	SmLINC122711-IBu,SmLINC122701-IBu,SmLINC002025-IBu,SmLINC122702-IBu,SmLINC122710-IBu,SmLINC122705-IBu,SmLINC122709-IBu,SmLINC002017-IBu,SmLINC122704-IBu,SmLINC122699-IBu,SmLINC122707-IBu,SmLINC122706-IBu,SmLINC122708-IBu,SmLINC122700-IBu
meg-1+	G12196	SmLINC002017-IBu	G12196	1.55605985160908	0	SmLINC122711-IBu,SmLINC122701-IBu,SmLINC002025-IBu,SmLINC122702-IBu,SmLINC122710-IBu,SmLINC122705-IBu,SmLINC122709-IBu,SmLINC002017-IBu,SmLINC122704-IBu,SmLINC122699-IBu,SmLINC122707-IBu,SmLINC122706-IBu,SmLINC122708-IBu,SmLINC122700-IBu
zfp-1-1+	G12196	SmLINC002017-IBu	G12196	2.95975715534503	0	SmLINC122711-IBu,SmLINC122701-IBu,SmLINC002025-IBu,SmLINC122702-IBu,SmLINC122710-IBu,SmLINC122705-IBu,SmLINC122709-IBu,SmLINC002017-IBu,SmLINC122704-IBu,SmLINC122699-IBu,SmLINC122707-IBu,SmLINC122706-IBu,SmLINC122708-IBu,SmLINC122700-IBu
meg-1+	G12196	SmLINC002025-IBu	G12196	1.55605985160908	0	SmLINC122711-IBu,SmLINC122701-IBu,SmLINC002025-IBu,SmLINC122702-IBu,SmLINC122710-IBu,SmLINC122705-IBu,SmLINC122709-IBu,SmLINC002017-IBu,SmLINC122704-IBu,SmLINC122699-IBu,SmLINC122707-IBu,SmLINC122706-IBu,SmLINC122708-IBu,SmLINC122700-IBu
zfp-1-1+	G12196	SmLINC002025-IBu	G12196	2.95975715534503	0	SmLINC122711-IBu,SmLINC122701-IBu,SmLINC002025-IBu,SmLINC122702-IBu,SmLINC122710-IBu,SmLINC122705-IBu,SmLINC122709-IBu,SmLINC002017-IBu,SmLINC122704-IBu,SmLINC122699-IBu,SmLINC122707-IBu,SmLINC122706-IBu,SmLINC122708-IBu,SmLINC122700-IBu
tegument 1	G12196	SmLINC002025-IBu	G12196	1.22634022126115	1.30865258219628e-178	SmLINC122711-IBu,SmLINC122701-IBu,SmLINC002025-IBu,SmLINC122702-IBu,SmLINC122710-IBu,SmLINC122705-IBu,SmLINC122709-IBu,SmLINC002017-IBu,SmLINC122704-IBu,SmLINC122699-IBu,SmLINC122707-IBu,SmLINC122706-IBu,SmLINC122708-IBu,SmLINC122700-IBu
dmrt1+ neoblasts	G19453	SmLINC002895-IBu	G19453	0.301653753054539	1.49086334028901e-08	SmLINC002895-IBu,SmLINC136143-IBu
flame cells	G25953	SmLINC003777-IBu	G25953	0.266605945395453	3.98241557981963e-68	SmLINC148114-IBu,SmLINC148112-IBu,SmLINC003777-IBu,SmLINC148111-IBu
zfp-1-1+	G26863	SmLINC003840-IBu	G26863	4.99620125990544	0	SmLINC003840-IBu,SmLINC149691-IBu
meg-1+	G26863	SmLINC003840-IBu	G26863	4.07954200860751	0	SmLINC003840-IBu,SmLINC149691-IBu
tegument 1	G26863	SmLINC003840-IBu	G26863	0.38605186845973	1.95255906548755e-16	SmLINC003840-IBu,SmLINC149691-IBu
GSC progeny	G29469	SmLINC004121-IBu	G29469	0.416131956119186	0	SmLINC154469-IBu,SmLINC154466-IBu,SmLINC004121-IBu,SmLINC154465-IBu,SmLINC154467-IBu
neuron 15	G33600	SmLINC004465-IBu	G33600	0.251414087464822	8.04783227885593e-07	SmLINC161797-IBu,SmLINC004465-IBu,SmLINC161800-IBu,SmLINC161799-IBu,SmLINC161798-IBu
parenchyma 2	G33600	SmLINC004465-IBu	G33600	0.408233950148218	3.1206776324548e-09	SmLINC161797-IBu,SmLINC004465-IBu,SmLINC161800-IBu,SmLINC161799-IBu,SmLINC161798-IBu
Mehlis' gland	G33600	SmLINC004465-IBu	G33600	0.330177275713275	2.05676090523402e-07	SmLINC161797-IBu,SmLINC004465-IBu,SmLINC161800-IBu,SmLINC161799-IBu,SmLINC161798-IBu
GSC progeny	G33600	SmLINC004465-IBu	G33600	0.558385926889161	2.5291465408476e-135	SmLINC161797-IBu,SmLINC004465-IBu,SmLINC161800-IBu,SmLINC161799-IBu,SmLINC161798-IBu
parenchyma 1	G33600	SmLINC004465-IBu	G33600	0.275927267551476	1.48846666542602e-85	SmLINC161797-IBu,SmLINC004465-IBu,SmLINC161800-IBu,SmLINC161799-IBu,SmLINC161798-IBu
neuron 24	G33600	SmLINC004465-IBu	G33600	0.374624269500219	3.73839322672189e-08	SmLINC161797-IBu,SmLINC004465-IBu,SmLINC161800-IBu,SmLINC161799-IBu,SmLINC161798-IBu
zfp-1-1+	G16748	SmLINC006435-IBu	G16748	0.706262517257482	1.29905526718006e-198	SmLINC006435-IBu,SmLINC131023-IBu,SmLINC131024-IBu,SmLINC131022-IBu,SmLINC131021-IBu
neuron 31 (7b2-)	G31211	SmLINC006827-IBu	G31211	0.612529699881591	3.32361014959899e-211	SmLINC157560-IBu,SmLINC157562-IBu,SmLINC006827-IBu,SmLINC157558-IBu,SmLINC157561-IBu,SmLINC157557-IBu
S1	G8547	SmLINC100002121	G8547	0.307517378763024	7.91373537873134e-113	SmLINC100002122,SmLINC100002123,SmLINC100002121
dmrt1+ neoblasts	G8547	SmLINC100002121	G8547	0.477531386857164	1.06163940412696e-13	SmLINC100002122,SmLINC100002123,SmLINC100002121
neoblast	G8547	SmLINC100002121	G8547	0.269034187778492	4.08124882783201e-169	SmLINC100002122,SmLINC100002123,SmLINC100002121
dmrt1+ neoblasts	G8547	SmLINC100002122	G8547	0.477531386857164	1.06163940412696e-13	SmLINC100002122,SmLINC100002123,SmLINC100002121
neoblast	G8547	SmLINC100002122	G8547	0.269034187778492	4.08124882783201e-169	SmLINC100002122,SmLINC100002123,SmLINC100002121
S1	G8547	SmLINC100002122	G8547	0.307517378763024	7.91373537873134e-113	SmLINC100002122,SmLINC100002123,SmLINC100002121
neoblast	G8547	SmLINC100002123	G8547	0.269034187778492	4.08124882783201e-169	SmLINC100002122,SmLINC100002123,SmLINC100002121
S1	G8547	SmLINC100002123	G8547	0.307517378763024	7.91373537873134e-113	SmLINC100002122,SmLINC100002123,SmLINC100002121
dmrt1+ neoblasts	G8547	SmLINC100002123	G8547	0.477531386857164	1.06163940412696e-13	SmLINC100002122,SmLINC100002123,SmLINC100002121
meg-1+	G9302	SmLINC100058691	G9302	0.422373291279355	2.22228207598252e-265	SmLINC100058691,SmLNCS117379-IBu
flame cells	G14051	SmLINC100059064	G14051	0.468015258198023	2.01660712095881e-289	SmLINC100059064
male gametes	G14051	SmLINC100059064	G14051	1.75790249836687	0	SmLINC100059064
zfp-1-1+	G67	SmLINC100087-IBu	G67	0.506370798741584	3.03633644705801e-46	SmLNCS100088-IBu,SmLINC100087-IBu
mature vitellocytes	G67	SmLINC100087-IBu	G67	1.63948676147729	8.96836792587938e-82	SmLNCS100088-IBu,SmLINC100087-IBu
late vitellocytes	G67	SmLINC100087-IBu	G67	0.423071023134332	1.51935947496376e-47	SmLNCS100088-IBu,SmLINC100087-IBu
neoblast	G34739	SmLINC100162489	G34739	0.296435162030371	0	SmLINC164128-IBu,SmLINC164132-IBu,SmLINC164133-IBu,SmLINC164127-IBu,SmLINC100162489,SmLINC164125-IBu,SmLINC164126-IBu
mature vitellocytes	G544	SmLINC100909-IBu	G544	0.563013623020937	1.63303465327232e-80	SmLINC100914-IBu,SmLINC100909-IBu,SmLINC100912-IBu
mature vitellocytes	G544	SmLINC100912-IBu	G544	0.563013623020937	1.63303465327232e-80	SmLINC100914-IBu,SmLINC100909-IBu,SmLINC100912-IBu
mature vitellocytes	G544	SmLINC100914-IBu	G544	0.563013623020937	1.63303465327232e-80	SmLINC100914-IBu,SmLINC100909-IBu,SmLINC100912-IBu
GSC progeny	G1172	SmLINC102068-IBu	G1172	0.513176510076298	0	SmLNCA102067-IBu,SmLINC102068-IBu,SmLNCA102062-IBu,SmLNCA102061-IBu,SmLNCA102064-IBu,SmLNCA102073-IBu,SmLINC102070-IBu,SmLNCA102059-IBu,SmLNCA102060-IBu,SmLNCA102063-IBu,SmLNCA102071-IBu,SmLNCA102066-IBu,SmLNCA102072-IBu,SmLINC102069-IBu,SmLNCA102074-IBu,SmLNCA102065-IBu
GSC progeny	G1172	SmLINC102069-IBu	G1172	0.513176510076298	0	SmLNCA102067-IBu,SmLINC102068-IBu,SmLNCA102062-IBu,SmLNCA102061-IBu,SmLNCA102064-IBu,SmLNCA102073-IBu,SmLINC102070-IBu,SmLNCA102059-IBu,SmLNCA102060-IBu,SmLNCA102063-IBu,SmLNCA102071-IBu,SmLNCA102066-IBu,SmLNCA102072-IBu,SmLINC102069-IBu,SmLNCA102074-IBu,SmLNCA102065-IBu
GSC progeny	G1172	SmLINC102070-IBu	G1172	0.513176510076298	0	SmLNCA102067-IBu,SmLINC102068-IBu,SmLNCA102062-IBu,SmLNCA102061-IBu,SmLNCA102064-IBu,SmLNCA102073-IBu,SmLINC102070-IBu,SmLNCA102059-IBu,SmLNCA102060-IBu,SmLNCA102063-IBu,SmLNCA102071-IBu,SmLNCA102066-IBu,SmLNCA102072-IBu,SmLINC102069-IBu,SmLNCA102074-IBu,SmLNCA102065-IBu
parenchyma 2	G1843	SmLINC103333-IBu	G1843	0.490179735250636	6.36842736412469e-12	SmLINC103338-IBu,SmLINC103337-IBu,SmLINC103334-IBu,SmLINC103333-IBu
parenchyma 2	G1843	SmLINC103334-IBu	G1843	0.490179735250636	6.36842736412469e-12	SmLINC103338-IBu,SmLINC103337-IBu,SmLINC103334-IBu,SmLINC103333-IBu
parenchyma 2	G1843	SmLINC103337-IBu	G1843	0.490179735250636	6.36842736412469e-12	SmLINC103338-IBu,SmLINC103337-IBu,SmLINC103334-IBu,SmLINC103333-IBu
parenchyma 2	G1843	SmLINC103338-IBu	G1843	0.490179735250636	6.36842736412469e-12	SmLINC103338-IBu,SmLINC103337-IBu,SmLINC103334-IBu,SmLINC103333-IBu
muscle 6	G2210	SmLINC104003-IBu	G2210	0.373615517182051	7.90445232357754e-39	SmLINC104009-IBu,SmLINC104006-IBu,SmLINC104004-IBu,SmLINC104008-IBu,SmLINC104003-IBu
male gametes	G2210	SmLINC104003-IBu	G2210	2.54409361707786	0	SmLINC104009-IBu,SmLINC104006-IBu,SmLINC104004-IBu,SmLINC104008-IBu,SmLINC104003-IBu
parenchyma 1	G2210	SmLINC104003-IBu	G2210	0.420257870140303	0	SmLINC104009-IBu,SmLINC104006-IBu,SmLINC104004-IBu,SmLINC104008-IBu,SmLINC104003-IBu
