gene_id	matrix_name	transcripts_id	gene_type	is_detected
Smp_163790	2DBD-beta	Smp_163790.1	protein_coding	True
Smp_034860	2DBD-gamma	Smp_034860.1	protein_coding	True
Smp_045200	A12	Smp_045200.1	protein_coding	True
Smp_045200	A12	Smp_045200.2	protein_coding	True
Smp_246700	abl1	Smp_246700.1	protein_coding	True
Smp_128790	abl2	Smp_128790.1	protein_coding	True
Smp_176310	ACC-1	Smp_176310.1	protein_coding	True
Smp_306240	ACC-2	Smp_306240.1	protein_coding	True
Smp_306240	ACC-2	Smp_306240.2	protein_coding	True
Smp_126140	alpha-Int1	Smp_126140.1	protein_coding	True
Smp_170280	alpha-Int2	Smp_170280.1	protein_coding	True
Smp_306910	alpha-Int3opt	Smp_306910.1	protein_coding	True
Smp_245490	alpha-Int4	Smp_245490.1	protein_coding	True
Smp_313560	AP	Smp_313560.1	protein_coding	True
Smp_300990	AQP1	Smp_300990.1	protein_coding	True
Smp_300190	AQP1.1	Smp_300190.1	protein_coding	True
Smp_038030	ASL	Smp_038030.1	protein_coding	True
Smp_018800	Aspartyl	Smp_018800.1	protein_coding	False
Smp_063000	ATP-cassette	Smp_063000.1	protein_coding	True
Smp_063000	ATP-cassette	Smp_063000.2	protein_coding	True
Smp_055780	ATP-cassette.1	Smp_055780.1	protein_coding	True
Smp_042020	ATPDase1	Smp_042020.1	protein_coding	True
Smp_009310	AUT1	Smp_009310.1	protein_coding	True
Smp_022640	BBC1	Smp_022640.1	protein_coding	True
Smp_089700	beta-Int1	Smp_089700.1	protein_coding	True
Smp_343950	BMP	Smp_343950.1	protein_coding	True
Smp_075800	c197	Smp_075800.1	protein_coding	True
Smp_213300	ca150	Smp_213300.1	protein_coding	True
Smp_036500	CAR	Smp_036500.1	protein_coding	True
Smp_141660	CavBcon	Smp_141660.1	protein_coding	True
Smp_141660	CavBcon	Smp_141660.2	protein_coding	True
Smp_141660	CavBcon	Smp_141660.3	protein_coding	True
Smp_141660	CavBcon	Smp_141660.4	protein_coding	True
Smp_135140	CavBvar	Smp_135140.1	protein_coding	True
Smp_103610	cb1.1	Smp_103610.1	protein_coding	True
Smp_067060	cb1.2	Smp_067060.1	protein_coding	True
Smp_141610	cb2	Smp_141610.1	protein_coding	True
Smp_136730	CD2	Smp_136730.1	protein_coding	True
Smp_082810	Cdc42	Smp_082810.1	protein_coding	True
Smp_330290	CE-2a	Smp_330290.1	protein_coding	False
Smp_314350	CE-2b	Smp_314350.1	protein_coding	False
Smp_123290	cGK1	Smp_123290.1	protein_coding	True
Smp_210500	CL3	Smp_210500.1	protein_coding	True
Smp_156400	CYP3050A1	Smp_156400.1	protein_coding	True
Smp_156400	CYP3050A1	Smp_156400.2	protein_coding	True
Smp_006390	Cys	Smp_006390.1	protein_coding	True
Smp_095520	DLC	Smp_095520.1	protein_coding	True
Smp_334230	Dnmt2	Smp_334230.1	protein_coding	True
Smp_334230	Dnmt2	Smp_334230.2	protein_coding	True
Smp_334230	Dnmt2	Smp_334230.3	protein_coding	True
Smp_334230	Dnmt2	Smp_334230.4	protein_coding	True
Smp_334230	Dnmt2	Smp_334230.5	protein_coding	True
Smp_056370	dohh	Smp_056370.1	protein_coding	True
Smp_042790	DPM	Smp_042790.1	protein_coding	True
Smp_042790	DPM	Smp_042790.2	protein_coding	True
Smp_000340	E78	Smp_000340.1	protein_coding	True
Smp_308370	EF1-alpha	Smp_308370.1	protein_coding	True
Smp_303500	EF1-alpha.1	Smp_303500.1	protein_coding	True
Smp_303500	EF1-alpha.1	Smp_303500.2	protein_coding	True
Smp_198420	EIF6	Smp_198420.1	protein_coding	True
Smp_194090	EKL	Smp_194090.1	protein_coding	True
Smp_194090	EKL	Smp_194090.2	protein_coding	True
Smp_194090	EKL	Smp_194090.3	protein_coding	True
Smp_024110	ENO	Smp_024110.1	protein_coding	True
Smp_024110	ENO	Smp_024110.2	protein_coding	True
Smp_139520	Eps8	Smp_139520.1	protein_coding	True
Smp_139520	Eps8	Smp_139520.2	protein_coding	True
Smp_331790	FEN1	Smp_331790.1	protein_coding	True
Smp_037230	FM	Smp_037230.1	protein_coding	True
Smp_012010	FoxO	Smp_012010.1	protein_coding	True
Smp_123300	Fst	Smp_123300.1	protein_coding	True
Smp_328000	FTZ-F1	Smp_328000.1	protein_coding	True
Smp_328000	FTZ-F1	Smp_328000.2	protein_coding	True
Smp_328000	FTZ-F1	Smp_328000.3	protein_coding	True
Smp_130200	ftz-f1-alpha	Smp_130200.1	protein_coding	True
Smp_214370	FucTA	Smp_214370.1	protein_coding	True
Smp_306350	FucTB	Smp_306350.1	protein_coding	True
Smp_137740	FucTE	Smp_137740.1	protein_coding	True
Smp_137740	FucTE	Smp_137740.2	protein_coding	True
Smp_137740	FucTE	Smp_137740.3	protein_coding	True
Smp_137740	FucTE	Smp_137740.4	protein_coding	True
Smp_142860	FucTF	Smp_142860.1	protein_coding	True
Smp_311780	FucTH	Smp_311780.1	protein_coding	True
Smp_138750	FucTK	Smp_138750.1	protein_coding	True
Smp_138750	FucTK	Smp_138750.2	protein_coding	True
Smp_310040	FucTM	Smp_310040.1	protein_coding	True
Smp_173940	Fz1	Smp_173940.1	protein_coding	True
G10001	G10001	SmLNCA118652-IBu	lncRNA	False
G10004	G10004	SmLINC118656-IBu	lncRNA	True
G10004	G10004	SmLINC118657-IBu	lncRNA	True
G10011	G10011	SmLINC118666-IBu	lncRNA	True
G10015	G10015	SmLNCA118684-IBu	lncRNA	True
G10018	G10018	SmLNCA118687-IBu	lncRNA	True
G10019	G10019	SmLNCA118688-IBu	lncRNA	True
G1002	G1002	SmLNCS101701-IBu	lncRNA	True
G10020	G10020	SmLNCA118689-IBu	lncRNA	True
G10021	G10021	SmLINC118691-IBu	lncRNA	True
G10029	G10029	SmLINC118710-IBu	lncRNA	True
G10030	G10030	SmLINC118711-IBu	lncRNA	True
G10035	G10035	SmLINC118716-IBu	lncRNA	False
G10046	G10046	SmLNCA118727-IBu	lncRNA	True
G10061	G10061	SmLINC118767-IBu	lncRNA	True
G10064	G10064	SmLNCA118774-IBu	lncRNA	True
G10075	G10075	SmLNCA118788-IBu	lncRNA	True
G10082	G10082	SmLNCS118819-IBu	lncRNA	False
